day,site,species,attacks
1,1,evarete,0
1,2,evarete,0
1,3,evarete,1
1,4,evarete,0
1,5,evarete,0
1,6,evarete,0
1,7,evarete,0
1,8,evarete,0
1,9,evarete,1
1,10,evarete,1
1,11,evarete,0
1,12,evarete,0
1,13,evarete,0
1,14,evarete,0
1,15,evarete,0
1,16,evarete,0
1,17,evarete,0
1,18,evarete,0
1,19,evarete,0
1,20,evarete,0
1,21,evarete,0
1,22,evarete,0
1,23,evarete,0
1,24,evarete,0
1,25,evarete,0
1,26,evarete,1
1,27,evarete,0
1,28,evarete,0
1,29,evarete,0
1,30,evarete,0
1,31,evarete,0
1,32,evarete,1
1,33,evarete,1
1,34,evarete,0
1,35,evarete,0
1,36,evarete,0
1,37,evarete,0
1,38,evarete,0
1,39,evarete,0
1,40,evarete,0
1,41,evarete,0
1,42,evarete,0
1,43,evarete,0
1,44,evarete,1
1,45,evarete,0
1,46,evarete,0
1,47,evarete,1
1,48,evarete,0
1,49,evarete,0
1,50,evarete,0
1,51,evarete,0
1,52,evarete,0
1,53,evarete,1
1,54,evarete,0
1,55,evarete,0
1,56,evarete,0
1,57,evarete,1
1,58,evarete,0
1,59,evarete,0
1,60,evarete,0
1,61,evarete,0
1,62,evarete,0
1,63,evarete,0
1,64,evarete,0
1,65,evarete,0
1,66,evarete,0
1,67,evarete,0
1,68,evarete,0
1,69,evarete,0
1,70,evarete,0
1,71,evarete,1
1,72,evarete,0
1,73,evarete,0
1,74,evarete,0
1,75,evarete,1
1,76,evarete,1
1,77,evarete,0
1,78,evarete,1
1,79,evarete,0
1,80,evarete,0
1,81,evarete,0
1,82,evarete,0
1,83,evarete,0
1,84,evarete,0
1,85,evarete,0
1,86,evarete,0
1,87,evarete,0
1,88,evarete,0
1,89,evarete,0
1,90,evarete,0
1,91,evarete,1
1,92,evarete,0
1,93,evarete,1
1,94,evarete,0
1,95,evarete,0
1,96,evarete,0
1,97,evarete,0
1,98,evarete,0
1,99,evarete,1
1,100,evarete,0
1,1,iphiclus,0
1,2,iphiclus,0
1,3,iphiclus,0
1,4,iphiclus,0
1,5,iphiclus,0
1,6,iphiclus,0
1,7,iphiclus,0
1,8,iphiclus,0
1,9,iphiclus,1
1,10,iphiclus,0
1,11,iphiclus,0
1,12,iphiclus,0
1,13,iphiclus,0
1,14,iphiclus,0
1,15,iphiclus,0
1,16,iphiclus,1
1,17,iphiclus,0
1,18,iphiclus,0
1,19,iphiclus,1
1,20,iphiclus,0
1,21,iphiclus,0
1,22,iphiclus,0
1,23,iphiclus,0
1,24,iphiclus,0
1,25,iphiclus,0
1,26,iphiclus,0
1,27,iphiclus,0
1,28,iphiclus,1
1,29,iphiclus,0
1,30,iphiclus,1
1,31,iphiclus,0
1,32,iphiclus,0
1,33,iphiclus,0
1,34,iphiclus,1
1,35,iphiclus,0
1,36,iphiclus,0
1,37,iphiclus,0
1,38,iphiclus,0
1,39,iphiclus,0
1,40,iphiclus,0
1,41,iphiclus,0
1,42,iphiclus,0
1,43,iphiclus,0
1,44,iphiclus,1
1,45,iphiclus,1
1,46,iphiclus,0
1,47,iphiclus,0
1,48,iphiclus,0
1,49,iphiclus,1
1,50,iphiclus,0
1,51,iphiclus,0
1,52,iphiclus,0
1,53,iphiclus,1
1,54,iphiclus,0
1,55,iphiclus,0
1,56,iphiclus,0
1,57,iphiclus,0
1,58,iphiclus,0
1,59,iphiclus,0
1,60,iphiclus,0
1,61,iphiclus,0
1,62,iphiclus,0
1,63,iphiclus,0
1,64,iphiclus,1
1,65,iphiclus,0
1,66,iphiclus,0
1,67,iphiclus,0
1,68,iphiclus,0
1,69,iphiclus,0
1,70,iphiclus,0
1,71,iphiclus,0
1,72,iphiclus,0
1,73,iphiclus,0
1,74,iphiclus,0
1,75,iphiclus,0
1,76,iphiclus,1
1,77,iphiclus,0
1,78,iphiclus,1
1,79,iphiclus,1
1,80,iphiclus,0
1,81,iphiclus,0
1,82,iphiclus,0
1,83,iphiclus,0
1,84,iphiclus,0
1,85,iphiclus,0
1,86,iphiclus,0
1,87,iphiclus,0
1,88,iphiclus,0
1,89,iphiclus,0
1,90,iphiclus,0
1,91,iphiclus,0
1,92,iphiclus,0
1,93,iphiclus,0
1,94,iphiclus,0
1,95,iphiclus,0
1,96,iphiclus,0
1,97,iphiclus,0
1,98,iphiclus,0
1,99,iphiclus,0
1,100,iphiclus,0
1,1,leucopthalma,0
1,2,leucopthalma,0
1,3,leucopthalma,1
1,4,leucopthalma,0
1,5,leucopthalma,0
1,6,leucopthalma,0
1,7,leucopthalma,1
1,8,leucopthalma,1
1,9,leucopthalma,0
1,10,leucopthalma,0
1,11,leucopthalma,0
1,12,leucopthalma,0
1,13,leucopthalma,0
1,14,leucopthalma,0
1,15,leucopthalma,0
1,16,leucopthalma,1
1,17,leucopthalma,0
1,18,leucopthalma,0
1,19,leucopthalma,0
1,20,leucopthalma,0
1,21,leucopthalma,0
1,22,leucopthalma,0
1,23,leucopthalma,0
1,24,leucopthalma,0
1,25,leucopthalma,0
1,26,leucopthalma,1
1,27,leucopthalma,0
1,28,leucopthalma,1
1,29,leucopthalma,0
1,30,leucopthalma,0
1,31,leucopthalma,0
1,32,leucopthalma,0
1,33,leucopthalma,1
1,34,leucopthalma,0
1,35,leucopthalma,0
1,36,leucopthalma,1
1,37,leucopthalma,0
1,38,leucopthalma,0
1,39,leucopthalma,0
1,40,leucopthalma,0
1,41,leucopthalma,1
1,42,leucopthalma,0
1,43,leucopthalma,0
1,44,leucopthalma,0
1,45,leucopthalma,0
1,46,leucopthalma,0
1,47,leucopthalma,0
1,48,leucopthalma,0
1,49,leucopthalma,0
1,50,leucopthalma,0
1,51,leucopthalma,0
1,52,leucopthalma,0
1,53,leucopthalma,0
1,54,leucopthalma,0
1,55,leucopthalma,0
1,56,leucopthalma,1
1,57,leucopthalma,1
1,58,leucopthalma,1
1,59,leucopthalma,0
1,60,leucopthalma,1
1,61,leucopthalma,0
1,62,leucopthalma,1
1,63,leucopthalma,0
1,64,leucopthalma,0
1,65,leucopthalma,0
1,66,leucopthalma,0
1,67,leucopthalma,0
1,68,leucopthalma,1
1,69,leucopthalma,0
1,70,leucopthalma,1
1,71,leucopthalma,0
1,72,leucopthalma,1
1,73,leucopthalma,0
1,74,leucopthalma,0
1,75,leucopthalma,0
1,76,leucopthalma,0
1,77,leucopthalma,0
1,78,leucopthalma,0
1,79,leucopthalma,1
1,80,leucopthalma,0
1,81,leucopthalma,0
1,82,leucopthalma,0
1,83,leucopthalma,0
1,84,leucopthalma,0
1,85,leucopthalma,0
1,86,leucopthalma,0
1,87,leucopthalma,0
1,88,leucopthalma,0
1,89,leucopthalma,0
1,90,leucopthalma,0
1,91,leucopthalma,1
1,92,leucopthalma,0
1,93,leucopthalma,0
1,94,leucopthalma,0
1,95,leucopthalma,0
1,96,leucopthalma,0
1,97,leucopthalma,0
1,98,leucopthalma,0
1,99,leucopthalma,0
1,100,leucopthalma,0
1,1,serpa,0
1,2,serpa,0
1,3,serpa,0
1,4,serpa,0
1,5,serpa,0
1,6,serpa,0
1,7,serpa,0
1,8,serpa,0
1,9,serpa,1
1,10,serpa,0
1,11,serpa,0
1,12,serpa,0
1,13,serpa,0
1,14,serpa,0
1,15,serpa,0
1,16,serpa,1
1,17,serpa,0
1,18,serpa,0
1,19,serpa,1
1,20,serpa,0
1,21,serpa,0
1,22,serpa,1
1,23,serpa,1
1,24,serpa,0
1,25,serpa,0
1,26,serpa,1
1,27,serpa,0
1,28,serpa,0
1,29,serpa,0
1,30,serpa,0
1,31,serpa,0
1,32,serpa,0
1,33,serpa,0
1,34,serpa,0
1,35,serpa,1
1,36,serpa,0
1,37,serpa,0
1,38,serpa,0
1,39,serpa,0
1,40,serpa,0
1,41,serpa,0
1,42,serpa,0
1,43,serpa,0
1,44,serpa,1
1,45,serpa,0
