time.delay,experiment.day,site,species,attacks,field.day
four,1,1,limenitis,1,1
four,1,2,limenitis,0,1
four,1,3,limenitis,0,1
four,1,4,limenitis,0,1
four,1,5,limenitis,1,1
four,1,6,limenitis,1,2
four,1,7,limenitis,0,2
four,1,8,limenitis,0,2
four,1,9,limenitis,0,2
four,1,10,limenitis,1,2
four,1,11,limenitis,0,3
four,1,12,limenitis,0,3
four,1,13,limenitis,0,3
four,1,14,limenitis,0,3
four,1,15,limenitis,0,3
four,1,16,limenitis,0,4
four,1,17,limenitis,0,4
four,1,18,limenitis,0,4
four,1,19,limenitis,0,4
four,1,20,limenitis,0,4
four,1,1,junonia,1,1
four,1,2,junonia,0,1
four,1,3,junonia,0,1
four,1,4,junonia,0,1
four,1,5,junonia,1,1
four,1,6,junonia,0,2
four,1,7,junonia,0,2
four,1,8,junonia,0,2
four,1,9,junonia,0,2
four,1,10,junonia,0,2
four,1,11,junonia,0,3
four,1,12,junonia,0,3
four,1,13,junonia,0,3
four,1,14,junonia,0,3
four,1,15,junonia,0,3
four,1,16,junonia,1,4
four,1,17,junonia,0,4
four,1,18,junonia,0,4
four,1,19,junonia,0,4
four,1,20,junonia,0,4
four,2,1,limenitis,0,2
four,2,2,limenitis,0,2
four,2,3,limenitis,0,2
four,2,4,limenitis,0,2
four,2,5,limenitis,0,2
four,2,6,limenitis,0,3
four,2,7,limenitis,0,3
four,2,8,limenitis,0,3
four,2,9,limenitis,0,3
four,2,10,limenitis,0,3
four,2,11,limenitis,0,4
four,2,12,limenitis,0,4
four,2,13,limenitis,0,4
four,2,14,limenitis,0,4
four,2,15,limenitis,0,4
four,2,16,limenitis,2,5
four,2,17,limenitis,0,5
four,2,18,limenitis,0,5
four,2,19,limenitis,1,5
four,2,20,limenitis,1,5
four,2,1,junonia,0,2
four,2,2,junonia,0,2
four,2,3,junonia,0,2
four,2,4,junonia,0,2
four,2,5,junonia,0,2
four,2,6,junonia,1,3
four,2,7,junonia,1,3
four,2,8,junonia,0,3
four,2,9,junonia,0,3
four,2,10,junonia,0,3
four,2,11,junonia,0,4
four,2,12,junonia,0,4
four,2,13,junonia,0,4
four,2,14,junonia,0,4
four,2,15,junonia,0,4
four,2,16,junonia,0,5
four,2,17,junonia,0,5
four,2,18,junonia,0,5
four,2,19,junonia,0,5
four,2,20,junonia,0,5
four,3,1,limenitis,0,3
four,3,2,limenitis,0,3
four,3,3,limenitis,0,3
four,3,4,limenitis,0,3
four,3,5,limenitis,1,3
four,3,6,limenitis,0,4
four,3,7,limenitis,0,4
four,3,8,limenitis,0,4
four,3,9,limenitis,0,4
four,3,10,limenitis,0,4
four,3,11,limenitis,1,5
four,3,12,limenitis,0,5
four,3,13,limenitis,0,5
four,3,14,limenitis,0,5
four,3,15,limenitis,1,5
four,3,16,limenitis,0,6
four,3,17,limenitis,0,6
four,3,18,limenitis,0,6
four,3,19,limenitis,0,6
four,3,20,limenitis,0,6
four,3,1,junonia,0,3
four,3,2,junonia,0,3
four,3,3,junonia,0,3
four,3,4,junonia,0,3
four,3,5,junonia,0,3
four,3,6,junonia,1,4
four,3,7,junonia,0,4
four,3,8,junonia,0,4
four,3,9,junonia,0,4
four,3,10,junonia,0,4
four,3,11,junonia,0,5
four,3,12,junonia,0,5
four,3,13,junonia,0,5
four,3,14,junonia,0,5
four,3,15,junonia,0,5
four,3,16,junonia,0,6
four,3,17,junonia,0,6
four,3,18,junonia,0,6
four,3,19,junonia,0,6
four,3,20,junonia,0,6
four,4,1,limenitis,0,4
four,4,2,limenitis,0,4
four,4,3,limenitis,0,4
four,4,4,limenitis,0,4
four,4,5,limenitis,0,4
four,4,6,limenitis,0,5
four,4,7,limenitis,0,5
four,4,8,limenitis,0,5
four,4,9,limenitis,0,5
four,4,10,limenitis,0,5
four,4,11,limenitis,0,6
four,4,12,limenitis,0,6
four,4,13,limenitis,0,6
four,4,14,limenitis,0,6
four,4,15,limenitis,0,6
four,4,16,limenitis,0,7
four,4,17,limenitis,0,7
four,4,18,limenitis,0,7
four,4,19,limenitis,0,7
four,4,20,limenitis,0,7
four,4,1,junonia,0,4
four,4,2,junonia,0,4
four,4,3,junonia,0,4
four,4,4,junonia,0,4
four,4,5,junonia,0,4
four,4,6,junonia,0,5
four,4,7,junonia,0,5
four,4,8,junonia,0,5
four,4,9,junonia,0,5
four,4,10,junonia,0,5
four,4,11,junonia,0,6
four,4,12,junonia,0,6
four,4,13,junonia,0,6
four,4,14,junonia,1,6
four,4,15,junonia,0,6
four,4,16,junonia,0,7
four,4,17,junonia,0,7
four,4,18,junonia,0,7
four,4,19,junonia,0,7
four,4,20,junonia,0,7
two,1,1,limenitis,5,1
two,1,2,limenitis,0,1
two,1,3,limenitis,0,1
two,1,4,limenitis,0,1
two,1,5,limenitis,0,1
two,1,6,limenitis,0,2
two,1,7,limenitis,0,2
two,1,8,limenitis,0,2
two,1,9,limenitis,0,2
two,1,10,limenitis,0,2
two,1,11,limenitis,0,3
two,1,12,limenitis,0,3
two,1,13,limenitis,0,3
two,1,14,limenitis,0,3
two,1,15,limenitis,0,3
two,1,16,limenitis,0,4
two,1,17,limenitis,0,4
two,1,18,limenitis,0,4
two,1,19,limenitis,0,4
two,1,20,limenitis,0,4
two,1,1,junonia,3,1
two,1,2,junonia,0,1
two,1,3,junonia,0,1
two,1,4,junonia,0,1
two,1,5,junonia,0,1
two,1,6,junonia,0,2
two,1,7,junonia,0,2
two,1,8,junonia,0,2
two,1,9,junonia,0,2
two,1,10,junonia,0,2
two,1,11,junonia,0,3
two,1,12,junonia,0,3
two,1,13,junonia,0,3
two,1,14,junonia,0,3
two,1,15,junonia,0,3
two,1,16,junonia,0,4
two,1,17,junonia,0,4
two,1,18,junonia,1,4
two,1,19,junonia,0,4
two,1,20,junonia,0,4
two,2,1,limenitis,0,2
two,2,2,limenitis,0,2
two,2,3,limenitis,0,2
two,2,4,limenitis,0,2
two,2,5,limenitis,0,2
two,2,6,limenitis,0,3
two,2,7,limenitis,0,3
two,2,8,limenitis,0,3
two,2,9,limenitis,0,3
two,2,10,limenitis,0,3
two,2,11,limenitis,0,4
two,2,12,limenitis,0,4
two,2,13,limenitis,0,4
two,2,14,limenitis,0,4
two,2,15,limenitis,0,4
two,2,16,limenitis,0,5
two,2,17,limenitis,0,5
two,2,18,limenitis,0,5
two,2,19,limenitis,0,5
two,2,20,limenitis,0,5
two,2,1,junonia,0,2
two,2,2,junonia,0,2
two,2,3,junonia,0,2
two,2,4,junonia,0,2
two,2,5,junonia,0,2
two,2,6,junonia,0,3
two,2,7,junonia,0,3
two,2,8,junonia,0,3
two,2,9,junonia,0,3
two,2,10,junonia,0,3
two,2,11,junonia,0,4
two,2,12,junonia,0,4
two,2,13,junonia,0,4
two,2,14,junonia,0,4
two,2,15,junonia,0,4
two,2,16,junonia,0,5
two,2,17,junonia,0,5
two,2,18,junonia,0,5
two,2,19,junonia,0,5
two,2,20,junonia,0,5
two,3,1,limenitis,1,3
two,3,2,limenitis,0,3
two,3,3,limenitis,0,3
two,3,4,limenitis,0,3
two,3,5,limenitis,0,3
two,3,6,limenitis,0,4
two,3,7,limenitis,0,4
two,3,8,limenitis,0,4
two,3,9,limenitis,0,4
two,3,10,limenitis,0,4
two,3,11,limenitis,0,5
two,3,12,limenitis,0,5
two,3,13,limenitis,0,5
two,3,14,limenitis,0,5
two,3,15,limenitis,0,5
two,3,16,limenitis,0,6
two,3,17,limenitis,0,6
two,3,18,limenitis,1,6
two,3,19,limenitis,0,6
two,3,20,limenitis,0,6
two,3,1,junonia,0,3
two,3,2,junonia,0,3
two,3,3,junonia,0,3
two,3,4,junonia,0,3
two,3,5,junonia,0,3
two,3,6,junonia,0,4
two,3,7,junonia,0,4
two,3,8,junonia,0,4
two,3,9,junonia,0,4
two,3,10,junonia,0,4
two,3,11,junonia,0,5
two,3,12,junonia,0,5
two,3,13,junonia,0,5
two,3,14,junonia,0,5
two,3,15,junonia,0,5
two,3,16,junonia,0,6
two,3,17,junonia,0,6
two,3,18,junonia,0,6
two,3,19,junonia,0,6
two,3,20,junonia,0,6
two,4,1,limenitis,1,4
two,4,2,limenitis,0,4
two,4,3,limenitis,0,4
two,4,4,limenitis,0,4
two,4,5,limenitis,0,4
two,4,6,limenitis,0,5
two,4,7,limenitis,0,5
two,4,8,limenitis,0,5
two,4,9,limenitis,0,5
two,4,10,limenitis,0,5
two,4,11,limenitis,0,6
two,4,12,limenitis,0,6
two,4,13,limenitis,0,6
two,4,14,limenitis,0,6
two,4,15,limenitis,1,6
two,4,16,limenitis,0,7
two,4,17,limenitis,0,7
two,4,18,limenitis,0,7
two,4,19,limenitis,0,7
two,4,20,limenitis,1,7
two,4,1,junonia,0,4
two,4,2,junonia,0,4
two,4,3,junonia,0,4
two,4,4,junonia,0,4
two,4,5,junonia,0,4
two,4,6,junonia,0,5
two,4,7,junonia,0,5
two,4,8,junonia,1,5
two,4,9,junonia,0,5
two,4,10,junonia,0,5
two,4,11,junonia,0,6
two,4,12,junonia,0,6
two,4,13,junonia,0,6
two,4,14,junonia,0,6
two,4,15,junonia,1,6
two,4,16,junonia,0,7
two,4,17,junonia,0,7
two,4,18,junonia,0,7
two,4,19,junonia,0,7
two,4,20,junonia,0,7
one,1,1,limenitis,0,1
one,1,2,limenitis,0,1
one,1,3,limenitis,1,1
one,1,4,limenitis,0,1
one,1,5,limenitis,0,1
one,1,6,limenitis,0,2
one,1,7,limenitis,0,2
one,1,8,limenitis,0,2
one,1,9,limenitis,0,2
one,1,10,limenitis,1,2
one,1,11,limenitis,0,3
one,1,12,limenitis,0,3
one,1,13,limenitis,0,3
one,1,14,limenitis,0,3
one,1,15,limenitis,0,3
one,1,16,limenitis,0,4
one,1,17,limenitis,0,4
one,1,18,limenitis,0,4
one,1,19,limenitis,0,4
one,1,20,limenitis,1,4
one,1,1,junonia,0,1
one,1,2,junonia,0,1
one,1,3,junonia,0,1
one,1,4,junonia,2,1
one,1,5,junonia,0,1
one,1,6,junonia,0,2
one,1,7,junonia,0,2
one,1,8,junonia,0,2
one,1,9,junonia,0,2
one,1,10,junonia,1,2
one,1,11,junonia,0,3
one,1,12,junonia,0,3
one,1,13,junonia,0,3
one,1,14,junonia,0,3
one,1,15,junonia,0,3
one,1,16,junonia,0,4
one,1,17,junonia,0,4
one,1,18,junonia,0,4
one,1,19,junonia,0,4
one,1,20,junonia,0,4
one,2,1,limenitis,0,2
one,2,2,limenitis,0,2
one,2,3,limenitis,0,2
one,2,4,limenitis,0,2
one,2,5,limenitis,0,2
one,2,6,limenitis,0,3
one,2,7,limenitis,0,3
one,2,8,limenitis,0,3
one,2,9,limenitis,0,3
one,2,10,limenitis,0,3
one,2,11,limenitis,0,4
one,2,12,limenitis,0,4
one,2,13,limenitis,0,4
one,2,14,limenitis,0,4
one,2,15,limenitis,0,4
one,2,16,limenitis,0,5
one,2,17,limenitis,0,5
