day,site,fac.no,species,attacks,time.delay,trial
1,1,1,model_battus,0,four,model
1,1,2,model_battus,0,four,model
1,1,3,model_battus,0,four,model
1,1,4,model_battus,0,four,model
1,1,5,model_battus,0,four,model
1,1,6,model_battus,0,four,model
1,1,7,model_battus,0,four,model
1,1,8,model_battus,0,four,model
1,1,9,model_battus,0,four,model
1,1,10,model_battus,0,four,model
1,1,11,model_battus,0,four,model
1,1,12,model_battus,0,four,model
1,1,13,model_battus,0,four,model
1,1,14,model_battus,0,four,model
1,1,15,model_battus,0,four,model
1,1,16,model_battus,0,four,model
1,1,17,model_battus,0,four,model
1,1,18,model_battus,0,four,model
1,1,19,model_battus,0,four,model
1,1,20,model_battus,0,four,model
1,1,21,model_battus,0,four,model
1,1,22,model_battus,0,four,model
1,1,23,model_battus,0,four,model
1,1,24,model_battus,0,four,model
1,1,25,model_battus,0,four,model
1,1,1,model_junonia,0,four,model
1,1,2,model_junonia,0,four,model
1,1,3,model_junonia,0,four,model
1,1,4,model_junonia,0,four,model
1,1,5,model_junonia,0,four,model
1,1,6,model_junonia,0,four,model
1,1,7,model_junonia,0,four,model
1,1,8,model_junonia,0,four,model
1,1,9,model_junonia,0,four,model
1,1,10,model_junonia,0,four,model
1,1,11,model_junonia,0,four,model
1,1,12,model_junonia,0,four,model
1,1,13,model_junonia,0,four,model
1,1,14,model_junonia,0,four,model
1,1,15,model_junonia,0,four,model
1,1,16,model_junonia,0,four,model
1,1,17,model_junonia,0,four,model
1,1,18,model_junonia,0,four,model
1,1,19,model_junonia,0,four,model
1,1,20,model_junonia,0,four,model
1,1,21,model_junonia,0,four,model
1,1,22,model_junonia,0,four,model
1,1,23,model_junonia,0,four,model
1,1,24,model_junonia,0,four,model
1,1,25,model_junonia,0,four,model
1,2,1,model_battus,0,four,model
1,2,2,model_battus,0,four,model
1,2,3,model_battus,0,four,model
1,2,4,model_battus,0,four,model
1,2,5,model_battus,0,four,model
1,2,6,model_battus,0,four,model
1,2,7,model_battus,0,four,model
1,2,8,model_battus,0,four,model
1,2,9,model_battus,0,four,model
1,2,10,model_battus,0,four,model
1,2,11,model_battus,0,four,model
1,2,12,model_battus,0,four,model
1,2,13,model_battus,0,four,model
1,2,14,model_battus,0,four,model
1,2,15,model_battus,0,four,model
1,2,16,model_battus,0,four,model
1,2,17,model_battus,0,four,model
1,2,18,model_battus,0,four,model
1,2,19,model_battus,0,four,model
1,2,20,model_battus,0,four,model
1,2,21,model_battus,0,four,model
1,2,22,model_battus,0,four,model
1,2,23,model_battus,0,four,model
1,2,24,model_battus,0,four,model
1,2,25,model_battus,0,four,model
1,2,1,model_junonia,0,four,model
1,2,2,model_junonia,0,four,model
1,2,3,model_junonia,0,four,model
1,2,4,model_junonia,0,four,model
1,2,5,model_junonia,0,four,model
1,2,6,model_junonia,0,four,model
1,2,7,model_junonia,0,four,model
1,2,8,model_junonia,0,four,model
1,2,9,model_junonia,0,four,model
1,2,10,model_junonia,0,four,model
1,2,11,model_junonia,0,four,model
1,2,12,model_junonia,0,four,model
1,2,13,model_junonia,0,four,model
1,2,14,model_junonia,0,four,model
1,2,15,model_junonia,0,four,model
1,2,16,model_junonia,0,four,model
1,2,17,model_junonia,0,four,model
1,2,18,model_junonia,0,four,model
1,2,19,model_junonia,0,four,model
1,2,20,model_junonia,0,four,model
1,2,21,model_junonia,0,four,model
1,2,22,model_junonia,0,four,model
1,2,23,model_junonia,0,four,model
1,2,24,model_junonia,0,four,model
1,2,25,model_junonia,0,four,model
1,3,1,model_battus,0,four,model
1,3,2,model_battus,0,four,model
1,3,3,model_battus,0,four,model
1,3,4,model_battus,0,four,model
1,3,5,model_battus,0,four,model
1,3,6,model_battus,0,four,model
1,3,7,model_battus,0,four,model
1,3,8,model_battus,0,four,model
1,3,9,model_battus,0,four,model
1,3,10,model_battus,0,four,model
1,3,11,model_battus,0,four,model
1,3,12,model_battus,0,four,model
1,3,13,model_battus,0,four,model
1,3,14,model_battus,0,four,model
1,3,15,model_battus,0,four,model
1,3,16,model_battus,0,four,model
1,3,17,model_battus,0,four,model
1,3,18,model_battus,0,four,model
1,3,19,model_battus,0,four,model
1,3,20,model_battus,0,four,model
1,3,21,model_battus,0,four,model
1,3,22,model_battus,0,four,model
1,3,23,model_battus,0,four,model
1,3,24,model_battus,0,four,model
1,3,25,model_battus,0,four,model
1,3,1,model_junonia,0,four,model
1,3,2,model_junonia,0,four,model
1,3,3,model_junonia,0,four,model
1,3,4,model_junonia,0,four,model
1,3,5,model_junonia,0,four,model
1,3,6,model_junonia,0,four,model
1,3,7,model_junonia,0,four,model
1,3,8,model_junonia,0,four,model
1,3,9,model_junonia,0,four,model
1,3,10,model_junonia,0,four,model
1,3,11,model_junonia,0,four,model
1,3,12,model_junonia,0,four,model
1,3,13,model_junonia,0,four,model
1,3,14,model_junonia,0,four,model
1,3,15,model_junonia,0,four,model
1,3,16,model_junonia,0,four,model
1,3,17,model_junonia,0,four,model
1,3,18,model_junonia,0,four,model
1,3,19,model_junonia,0,four,model
1,3,20,model_junonia,0,four,model
1,3,21,model_junonia,0,four,model
1,3,22,model_junonia,0,four,model
1,3,23,model_junonia,0,four,model
1,3,24,model_junonia,0,four,model
1,3,25,model_junonia,0,four,model
1,4,1,model_battus,0,four,model
1,4,2,model_battus,0,four,model
1,4,3,model_battus,0,four,model
1,4,4,model_battus,0,four,model
1,4,5,model_battus,0,four,model
1,4,6,model_battus,0,four,model
1,4,7,model_battus,0,four,model
1,4,8,model_battus,0,four,model
1,4,9,model_battus,0,four,model
1,4,10,model_battus,0,four,model
1,4,11,model_battus,0,four,model
1,4,12,model_battus,0,four,model
1,4,13,model_battus,0,four,model
1,4,14,model_battus,0,four,model
1,4,15,model_battus,0,four,model
