wavelength,reflectance
177.272,-810
177.658,787.5
178.044,270
178.43,56.25
178.816,-207.69
179.203,-105.88
179.589,51.43
179.975,-34.62
180.361,-32.14
180.747,192.86
181.133,58.7
181.519,-900
181.904,2700
182.29,96.43
182.676,69.23
183.062,47.37
183.447,24.66
183.833,103.85
184.219,-67.92
184.604,236.84
184.99,450
185.375,32.14
185.761,-52.94
186.146,0
186.531,128.57
186.917,36.73
187.302,29.03
187.687,22.5
188.073,0
188.458,33.96
188.843,-52.94
189.228,48.65
189.613,2700
189.998,14.52
190.383,-158.82
190.768,3600
191.153,128.57
191.538,0
191.923,-40.91
192.307,-138.46
192.692,284.21
193.077,-675
193.461,142.11
193.846,0
194.231,-14.52
194.615,-264.71
195,40.91
195.384,284.21
195.769,-34.62
196.153,-264.71
196.537,67.5
196.922,-103.85
197.306,90
197.69,25.71
198.074,34.62
198.458,55.1
198.843,-16.98
199.227,225
199.611,70.79
199.995,12.68
200.379,0
200.763,-562.5
201.146,-105.88
201.53,11.25
201.914,45
202.298,50.94
202.681,-77.14
203.065,-450
203.449,0
203.832,-77.14
204.216,-900
204.599,-102.86
204.983,9.18
205.366,45
205.75,1800
206.133,22.5
206.516,883.02
206.9,-158.82
207.283,-40.91
207.666,33.75
208.049,14.52
208.432,0
208.815,0
209.198,-105.88
209.581,16.82
209.964,12.68
210.347,67.92
210.73,0
211.113,-154.29
211.496,-40.91
211.879,-43.55
212.261,-50.56
212.644,0
213.027,45
213.409,9.18
213.792,67.92
214.174,0
214.557,284.21
214.939,33.64
215.322,-242.31
215.704,-128.57
216.086,-22.5
216.469,9.18
216.851,40.91
217.233,16.98
217.615,-33.75
217.997,-29.03
218.379,-173.08
218.761,-116.13
219.143,-12.68
219.525,0
219.907,16.98
220.289,40.45
220.671,15.52
221.053,-180
221.435,-9.18
221.816,-33.75
222.198,34.62
222.58,0
222.961,-14.52
223.343,0
223.724,33.64
224.106,11.25
224.487,8.41
224.869,11.25
225.25,9.18
225.631,-60.67
226.013,-16.82
226.394,-60.67
226.775,9.18
227.156,6.72
227.537,-14.4
227.919,-36.73
228.3,0
228.681,-50.56
229.062,-22.36
229.442,-5.29
229.823,0
230.204,0
230.585,18.27
230.966,15.08
231.347,-8.37
231.727,0
232.108,0
232.488,-10.04
232.869,-10.04
233.25,-6.69
233.63,-17.93
234.01,-3.04
234.391,2.95
234.771,0
235.152,-5.73
235.532,-10.56
235.912,8.35
236.292,6.99
236.672,8.72
237.053,6.99
237.433,0
237.813,3.04
238.193,9.54
238.573,1.35
238.953,0
239.333,7.61
239.712,17.31
240.092,8.45
240.472,0
240.852,9.21
241.231,10.22
241.611,6.13
241.991,8.94
242.37,8.86
242.75,12.91
243.129,10.61
243.509,2.29
243.888,10.65
244.267,7.75
244.647,8.23
245.026,9.88
245.405,9.53
245.784,5.7
246.164,5.46
246.543,7.87
246.922,9.35
247.301,5.75
247.68,7.3
248.059,8.26
248.438,8.46
248.817,8.74
249.195,9.31
249.574,7.11
249.953,5.03
250.332,6.15
250.71,6.78
251.089,8.8
251.468,9.35
251.846,7.31
252.225,10.53
252.603,8.17
252.982,9.51
253.36,7.87
253.738,10.6
254.117,10.53
254.495,8.11
254.873,8.89
255.251,9.33
255.63,7.59
256.008,8.71
256.386,7.15
256.764,5.59
257.142,7.15
257.52,7.08
257.898,9.97
258.276,9.92
258.653,6.46
259.031,7.56
259.409,8.13
259.787,6.71
260.164,7.72
260.542,8.01
260.92,9.04
261.297,10.2
261.675,7.67
262.052,6.18
262.43,8.77
262.807,8.38
263.184,8.13
263.562,8.4
263.939,8.01
264.316,9.54
264.693,7.93
265.07,8.02
265.448,8.11
265.825,8.64
266.202,7.77
266.579,10.46
266.956,8.23
267.333,8.25
267.709,9.29
268.086,8.91
268.463,8.02
268.84,9.35
269.216,8.53
269.593,8.47
269.97,8.27
270.346,7.97
270.723,8.63
271.099,10
271.476,10.94
271.852,10.88
272.229,8.21
272.605,9.07
272.981,9.79
273.358,9.38
273.734,9.75
274.11,9.79
274.486,9.75
274.862,8.95
275.238,9.36
275.614,9.14
275.99,10.08
276.366,10.47
276.742,12.18
277.118,9.79
277.494,7.75
277.87,8.57
278.245,8.6
278.621,11.43
278.997,10
279.372,9.19
279.748,11.32
280.123,10.97
280.499,10.88
280.874,10.77
281.25,10.18
281.625,9.81
282,9.59
282.376,11.65
282.751,11.51
283.126,9.54
283.501,10.38
283.876,9.58
284.252,9.66
284.627,12.82
285.002,9.85
285.377,10.62
285.751,9.6
286.126,10.32
286.501,12.57
286.876,9.56
287.251,9.47
287.625,9.66
288,10.39
288.375,10.91
288.749,9.66
289.124,7.57
289.498,11.72
289.873,8.95
290.247,11.46
290.622,10.29
290.996,8.71
291.37,10.47
291.745,8.53
292.119,9.43
292.493,10.74
292.867,12.47
293.241,9.95
293.616,8.93
293.99,11.29
294.364,11.11
294.737,8.31
295.111,9.09
295.485,9.72
295.859,9.02
296.233,8.4
296.607,10.46
296.98,9.79
297.354,10.29
297.728,9.58
298.101,10.61
298.475,9.07
298.848,12.5
299.222,9.84
299.595,9.98
299.968,9.61
300.342,8.57
300.715,10.6
301.088,10.59
301.462,9.51
301.835,10.62
302.208,10.81
302.581,10.25
302.954,9.57
303.327,10.06
303.7,8.84
304.073,11.61
304.446,10.27
304.819,8.6
305.192,10.47
305.564,8.75
305.937,9.22
306.31,10.87
306.682,10.83
307.055,8.95
307.428,9.07
307.8,12.14
308.173,10.88
308.545,11.49
308.917,10.93
309.29,8.4
309.662,9.14
310.034,10.53
310.407,10.25
