wavelength,reflectance
177.272,-755
177.658,268.75
178.044,595
178.43,26.87
178.816,-90.38
179.203,73.53
179.589,138.57
179.975,82.69
180.361,116.07
180.747,83.93
181.133,90.22
181.519,-350
181.904,-350
182.29,212.5
182.676,82.69
183.062,-113.16
183.447,44.52
183.833,82.69
184.219,-78.3
184.604,123.68
184.99,145
185.375,148.21
185.761,-244.12
186.146,123.68
186.531,10
186.917,40.31
187.302,49.19
187.687,38.12
188.073,20.16
188.458,23.58
188.843,-244.12
189.228,63.51
189.613,1450
189.998,-8.87
190.383,126.47
190.768,3250
191.153,10
191.538,40.57
191.923,-32.95
192.307,-125
192.692,313.16
193.077,-518.75
193.461,171.05
193.846,20.16
194.231,78.23
194.615,73.53
195,-12.5
195.384,502.63
195.769,-125
196.153,-402.94
196.537,26.87
196.922,48.08
197.306,145
197.69,112.86
198.074,151.92
198.458,49.49
198.843,-61.32
199.227,-631.25
199.611,-16.29
199.995,42.96
200.379,-125
200.763,-856.25
201.146,20.59
201.53,15.62
201.914,71.87
202.298,6.6
202.681,112.86
203.065,268.75
203.449,-21.15
203.832,-41.43
204.216,5050
204.599,-41.43
204.983,49.49
205.366,26.87
205.75,5050
206.133,15.62
206.516,804.72
206.9,126.47
207.283,7.95
207.666,49.37
208.049,-8.87
208.432,265.79
208.815,-85.29
209.198,-191.18
209.581,11.68
209.964,4.93
210.347,-27.36
210.73,-53.41
211.113,-221.43
211.496,-53.41
211.879,-23.39
212.261,3.93
212.644,-16.29
213.027,-29.38
213.409,40.31
213.792,6.6
214.174,-402.94
214.557,407.89
214.939,3.27
215.322,-55.77
215.704,-92.86
216.086,-6.88
216.469,-42.35
216.851,-53.41
217.233,-27.36
217.615,-51.88
217.997,-37.9
218.379,-159.62
218.761,5.65
219.143,55.63
219.525,23.58
219.907,6.6
220.289,44.38
220.671,3.02
221.053,-67.14
221.435,-5.61
221.816,-29.38
222.198,-125
222.58,3.93
222.961,-52.42
223.343,-6.18
223.724,-13.55
224.106,4.37
224.487,20.09
224.869,-18.13
225.25,-23.98
225.631,-16.29
226.013,20.09
226.394,-16.29
226.775,12.76
227.156,9.33
227.537,2.8
227.919,3.57
228.3,-23.98
228.681,-76.97
229.062,-20.19
229.442,-13.82
229.823,-3.85
230.204,-51.12
230.585,-2.79
230.966,-18.16
231.347,-10.93
231.727,-3.42
232.108,-6.22
232.488,11.34
232.869,11.34
233.25,-5.39
233.63,-20.12
234.01,13.34
234.391,10
234.771,1
235.152,-18.95
235.532,-22.73
235.912,4.99
236.292,5.57
236.672,-5.69
237.053,0.91
237.433,-9.24
237.813,5.14
238.193,8.57
238.573,1.88
238.953,-7
239.333,-2.04
239.712,4.19
240.092,-0.74
240.472,2.63
240.852,1.6
241.231,4.48
241.611,0.4
241.991,4.82
242.37,0.34
242.75,3.54
243.129,1.81
243.509,0.3
243.888,4.53
244.267,3.8
244.647,2.32
245.026,4.21
245.405,2.61
245.784,4.05
246.164,-2.8
246.543,1.34
246.922,1.31
247.301,2.52
247.68,3.85
248.059,5.05
248.438,3.94
248.817,4.56
249.195,1.58
249.574,2.4
249.953,2.01
250.332,1.8
250.71,3.98
251.089,2.56
251.468,2.6
251.846,-0.62
252.225,3.16
252.603,5.21
252.982,3.31
253.36,2.77
253.738,4.73
254.117,5.75
254.495,3.51
254.873,4.57
255.251,2.06
255.63,0.79
256.008,0.77
256.386,4.47
256.764,2.3
257.142,4.16
257.52,3.66
257.898,3.86
258.276,4.78
258.653,3.2
259.031,1.57
259.409,3.87
259.787,0.73
260.164,1.54
260.542,2.49
260.92,3.67
261.297,5.62
261.675,3.24
262.052,1.8
262.43,3.4
262.807,3.24
263.184,2.27
263.562,2.82
263.939,3.98
264.316,4.19
264.693,3.43
265.07,3.05
265.448,3.08
265.825,2.46
266.202,3.86
266.579,4.4
266.956,3.82
267.333,4.36
267.709,4.88
268.086,3.41
268.463,1.71
268.84,3.89
269.216,3.2
269.593,3.81
269.97,2.5
270.346,2.93
270.723,3.91
271.099,4.46
271.476,5.57
271.852,3.82
272.229,1.9
272.605,3.73
272.981,3.81
273.358,4.27
273.734,4.1
274.11,3.01
274.486,2.92
274.862,1.95
275.238,1.71
275.614,2.71
275.99,2.94
276.366,4.82
276.742,5.28
277.118,3.28
277.494,4.49
277.87,4
278.245,3.23
278.621,3.48
278.997,3.18
279.372,3.78
279.748,3.26
280.123,5.72
280.499,4.25
280.874,3.95
281.25,4.93
281.625,1.2
282,1.75
282.376,4.4
282.751,4.19
283.126,5
283.501,5.67
283.876,3.83
284.252,2.97
284.627,4.46
285.002,3.47
285.377,4.29
285.751,4.14
286.126,3.54
286.501,4.72
286.876,4.75
287.251,3.68
287.625,3.81
288,4.26
288.375,3.74
288.749,3.24
289.124,1.15
289.498,3.65
289.873,2.91
290.247,3.23
290.622,1.69
290.996,3.8
291.37,4.29
291.745,2.17
292.119,1.93
292.493,4.29
292.867,4.08
293.241,3.24
293.616,2.99
293.99,3.52
294.364,4.07
294.737,2.79
295.111,3.31
295.485,1.89
295.859,2.23
296.233,3.9
296.607,2.79
296.98,3.64
297.354,3.01
297.728,3.21
298.101,4.08
298.475,2.85
298.848,6.22
299.222,4.21
299.595,1.99
299.968,2.37
300.342,3.98
300.715,4.18
301.088,2.06
301.462,3.1
301.835,0.95
302.208,4.16
302.581,3.99
302.954,3.66
303.327,2.55
303.7,2.32
304.073,4.33
304.446,3.52
304.819,3.6
305.192,3.41
305.564,3.11
305.937,4.98
306.31,4.73
306.682,2.68
307.055,3
307.428,3.95
307.8,4.33
308.173,4.35
308.545,4.28
308.917,2.84
309.29,4.71
309.662,2.79
310.034,3.43
310.407,3.61
310.779,4.16
311.151,2.75
311.523,3.89
311.895,2.86
312.267,2.84
312.639,3
313.011,4.31
313.383,2.84
313.755,3.19
314.127,3.94
314.498,3.2
314.87,2.1
315.242,1.53
315.614,3.21
315.985,3.48
316.357,3.04
316.728,4.72
317.1,4.06
317.471,3.93
317.843,0.4
318.214,1.28
318.585,4.05
318.957,3.68
319.328,1.54
319.699,3.14
320.07,4.26
320.441,3.42
320.813,1.18
321.184,3.87
321.555,2.89
321.926,0.88
322.297,4.27
322.667,2.27
323.038,2.31
323.409,2.25
323.78,3.49
324.151,2.28
324.521,2.94
324.892,3.27
325.262,4.23
325.633,3.11
326.004,2.31
326.374,2.8
326.744,3.92
327.115,2.77
327.485,1.48
327.855,2.27
328.226,2.48
328.596,3.12
328.966,2.06
329.336,4.34
329.706,2.56
330.076,2.05
330.447,3.89
330.816,2.06
331.186,4.26
331.556,3.68
331.926,4.47
332.296,2.77
332.666,0.11
333.036,1.99
333.405,2.59
333.775,1.78
334.144,2.67
334.514,1.47
334.884,2.04
335.253,1.51
335.623,1.79
335.992,2.07
336.361,3.38
336.731,3.51
337.1,2.27
337.469,2.89
337.838,3.07
338.208,2.35
338.577,1.5
338.946,2.78
339.315,3.61
339.684,1.74
340.053,1.2
340.422,3.36
340.79,1.78
341.159,3.37
341.528,3.06
341.897,2.89
342.266,2.51
342.634,3.59
