day,site,fac.no,species,attacks
1,1,1,battus,0
1,1,2,battus,0
1,1,3,battus,0
1,1,4,battus,0
1,1,5,battus,0
1,1,6,battus,0
1,1,7,battus,0
1,1,8,battus,0
1,1,9,battus,0
1,1,10,battus,0
1,1,11,battus,0
1,1,12,battus,0
1,1,13,battus,0
1,1,14,battus,0
1,1,15,battus,0
1,1,16,battus,0
1,1,17,battus,0
1,1,18,battus,0
1,1,19,battus,0
1,1,20,battus,0
1,1,21,battus,0
1,1,22,battus,0
1,1,23,battus,0
1,1,24,battus,0
1,1,25,battus,0
1,1,1,junonia,0
1,1,2,junonia,0
1,1,3,junonia,0
1,1,4,junonia,0
1,1,5,junonia,0
1,1,6,junonia,0
1,1,7,junonia,0
1,1,8,junonia,0
1,1,9,junonia,0
1,1,10,junonia,0
1,1,11,junonia,0
1,1,12,junonia,0
1,1,13,junonia,0
1,1,14,junonia,0
1,1,15,junonia,0
1,1,16,junonia,0
1,1,17,junonia,0
1,1,18,junonia,0
1,1,19,junonia,0
1,1,20,junonia,0
1,1,21,junonia,0
1,1,22,junonia,0
1,1,23,junonia,0
1,1,24,junonia,0
1,1,25,junonia,0
1,2,1,battus,0
1,2,2,battus,0
1,2,3,battus,0
1,2,4,battus,0
1,2,5,battus,0
1,2,6,battus,0
1,2,7,battus,0
1,2,8,battus,0
1,2,9,battus,0
1,2,10,battus,0
1,2,11,battus,0
1,2,12,battus,0
1,2,13,battus,0
1,2,14,battus,0
1,2,15,battus,0
1,2,16,battus,0
1,2,17,battus,0
1,2,18,battus,0
1,2,19,battus,0
1,2,20,battus,0
1,2,21,battus,0
1,2,22,battus,0
1,2,23,battus,0
1,2,24,battus,0
1,2,25,battus,0
1,2,1,junonia,0
1,2,2,junonia,0
1,2,3,junonia,0
1,2,4,junonia,0
1,2,5,junonia,0
1,2,6,junonia,0
1,2,7,junonia,0
1,2,8,junonia,0
1,2,9,junonia,0
1,2,10,junonia,0
1,2,11,junonia,0
1,2,12,junonia,0
1,2,13,junonia,0
1,2,14,junonia,0
1,2,15,junonia,0
1,2,16,junonia,0
1,2,17,junonia,0
1,2,18,junonia,0
1,2,19,junonia,0
1,2,20,junonia,0
1,2,21,junonia,0
1,2,22,junonia,0
1,2,23,junonia,0
1,2,24,junonia,0
1,2,25,junonia,0
1,3,1,battus,1
1,3,2,battus,1
1,3,3,battus,0
1,3,4,battus,0
1,3,5,battus,0
1,3,6,battus,0
1,3,7,battus,0
1,3,8,battus,0
1,3,9,battus,0
1,3,10,battus,0
1,3,11,battus,0
1,3,12,battus,0
1,3,13,battus,0
1,3,14,battus,0
1,3,15,battus,0
1,3,16,battus,0
1,3,17,battus,0
1,3,18,battus,0
1,3,19,battus,0
1,3,20,battus,0
1,3,21,battus,0
1,3,22,battus,0
1,3,23,battus,0
1,3,24,battus,0
1,3,25,battus,0
1,3,1,junonia,0
1,3,2,junonia,0
1,3,3,junonia,0
1,3,4,junonia,0
1,3,5,junonia,0
1,3,6,junonia,0
1,3,7,junonia,0
1,3,8,junonia,0
1,3,9,junonia,0
1,3,10,junonia,0
1,3,11,junonia,0
1,3,12,junonia,0
1,3,13,junonia,0
1,3,14,junonia,0
1,3,15,junonia,0
1,3,16,junonia,0
1,3,17,junonia,0
1,3,18,junonia,0
1,3,19,junonia,0
1,3,20,junonia,0
1,3,21,junonia,0
1,3,22,junonia,0
1,3,23,junonia,0
1,3,24,junonia,0
1,3,25,junonia,0
1,4,1,battus,0
1,4,2,battus,0
1,4,3,battus,0
1,4,4,battus,0
1,4,5,battus,0
1,4,6,battus,0
