wavelength,reflectance
177.272,-8.26
177.658,-74.08
178.044,-65.16
178.43,-45.1
178.816,-55.36
179.203,-42.57
179.589,-427.09
179.975,-242.26
180.361,-11580
180.747,216.38
181.133,146.57
181.519,42.16
181.904,-74.08
182.29,-64.13
182.676,-78.95
183.062,-63.92
183.447,-38.65
183.833,-69.11
184.219,-268.11
184.604,-2565.31
184.99,223.46
185.375,144.97
185.761,72.29
186.146,41.29
186.531,32.58
186.917,27.07
187.302,29.04
187.687,23.38
188.073,21.56
188.458,19.49
188.843,11.51
189.228,12.77
189.613,10.99
189.998,10.28
190.383,9.36
190.768,8.16
191.153,7.17
191.538,1.06
191.923,2.54
192.307,2.09
192.692,2.01
193.077,2.63
193.461,1.59
193.846,3.3
194.231,4.26
194.615,5.71
195,4.07
195.384,5.58
195.769,9.14
196.153,8.12
196.537,4.66
196.922,4.3
197.306,4.73
197.69,4.74
198.074,0.95
198.458,1.4
198.843,-0.28
199.227,2.18
199.611,-2.33
199.995,0.44
200.379,3.99
200.763,9.88
201.146,8.62
201.53,6.36
201.914,3.48
202.298,5.92
202.681,6.44
203.065,8.36
203.449,6.43
203.832,9.77
204.216,7.06
204.599,32.71
204.983,36.89
205.366,38.03
205.75,41.45
206.133,44.55
206.516,45.77
206.9,44.06
207.283,45.34
207.666,46.13
208.049,48.17
208.432,48.75
208.815,27.77
209.198,24.79
209.581,23.32
209.964,22.05
210.347,22.02
210.73,22.26
211.113,23.84
211.496,21.64
211.879,20.25
212.261,17.71
212.644,10.68
213.027,11.88
213.409,13.48
213.792,13.13
214.174,10.07
214.557,9.35
214.939,8.1
215.322,5.18
215.704,2.97
216.086,3.72
216.469,3.66
216.851,6.71
217.233,7.4
217.615,3.66
217.997,4.66
218.379,6.77
218.761,5.19
219.143,6.36
219.525,8.71
219.907,11.37
220.289,10.03
220.671,7.61
221.053,10.29
221.435,9.77
221.816,10.32
222.198,10.31
222.58,13.25
222.961,15.06
223.343,12.43
223.724,12.99
224.106,12.6
224.487,12.75
224.869,13.01
225.25,12.49
225.631,12.41
226.013,14.13
226.394,14.08
226.775,11.96
227.156,13.45
227.537,14.13
227.919,13.1
228.3,12.51
228.681,12.49
229.062,14.04
229.442,13.99
229.823,13.62
230.204,12.26
230.585,12.77
230.966,13.48
231.347,12.63
231.727,13.33
232.108,13.91
232.488,13.86
232.869,14.18
233.25,13.97
233.63,13.66
234.01,12.93
234.391,14.01
234.771,13.45
235.152,13.21
235.532,12.95
235.912,12.77
236.292,12.46
236.672,12.86
237.053,13.19
237.433,13.2
237.813,13.35
238.193,13.73
238.573,13.66
238.953,14.15
239.333,14.16
239.712,14.22
240.092,13.79
240.472,13.78
240.852,13.55
241.231,13.29
241.611,13.12
241.991,13.21
242.37,13.18
242.75,13.1
243.129,13.08
243.509,13.07
243.888,13.08
244.267,13.17
244.647,13.16
245.026,13.24
245.405,13.27
245.784,13.3
246.164,13.03
246.543,12.97
246.922,12.86
247.301,12.67
247.68,12.65
248.059,12.64
248.438,12.64
248.817,12.62
249.195,12.52
249.574,12.46
249.953,12.41
250.332,12.52
250.71,12.52
251.089,12.6
251.468,12.6
251.846,12.62
252.225,12.64
252.603,12.68
252.982,12.78
253.36,12.85
253.738,12.86
254.117,12.74
254.495,12.73
254.873,12.73
255.251,12.71
255.63,12.69
256.008,12.62
256.386,12.52
256.764,12.46
257.142,12.43
257.52,12.36
257.898,12.29
258.276,12.39
258.653,12.34
259.031,12.3
259.409,12.23
259.787,12.25
260.164,12.18
260.542,12.2
