wavelength,reflectance
177.272,-560
177.658,25
178.044,430
178.43,25
178.816,42.31
179.203,-94.12
179.589,134.29
179.975,146.15
180.361,25
180.747,-39.29
181.133,15.22
181.519,1600
181.904,1600
182.29,185.71
182.676,111.54
183.062,84.21
183.447,58.9
183.833,7.69
184.219,-30.19
184.604,178.95
184.99,160
185.375,25
185.761,-41.18
186.146,36.84
186.531,-45.71
186.917,11.22
187.302,-40.32
187.687,-20
188.073,-11.29
188.458,-47.17
188.843,-200
189.228,91.89
189.613,6100
189.998,-54.84
190.383,-94.12
190.768,4300
191.153,57.14
191.538,-13.21
191.923,4.55
192.307,-96.15
192.692,321.05
193.077,-1212.5
193.461,273.68
193.846,-40.32
194.231,-54.84
194.615,-411.76
195,-36.36
195.384,178.95
195.769,-96.15
196.153,-147.06
196.537,-31.25
196.922,-61.54
197.306,-290
197.69,57.14
198.074,-61.54
198.458,75.51
198.843,-13.21
199.227,-312.5
199.611,52.81
199.995,28.17
200.379,-26.92
200.763,-537.5
201.146,-41.18
201.53,13.75
201.914,-8.75
202.298,-47.17
202.681,31.43
203.065,-650
203.449,-26.92
203.832,-97.14
204.216,-200
204.599,-71.43
204.983,2.04
205.366,-42.5
205.75,6100
206.133,-8.75
206.516,700
206.9,-252.94
207.283,-118.18
207.666,13.75
208.049,3.23
208.432,226.32
208.815,170.59
209.198,-147.06
209.581,-6.54
209.964,53.52
210.347,-30.19
210.73,-77.27
211.113,-225.71
211.496,-15.91
211.879,-11.29
212.261,-58.43
212.644,22.47
213.027,-65
213.409,29.59
213.792,3.77
214.174,-252.94
214.557,226.32
214.939,-6.54
215.322,-269.23
215.704,-200
216.086,-31.25
216.469,-7.14
216.851,-15.91
217.233,3.77
217.615,-8.75
217.997,-98.39
218.379,-200
218.761,-25.81
219.143,-73.24
219.525,-13.21
219.907,37.74
220.289,22.47
220.671,-6.03
221.053,5.71
221.435,20.41
221.816,-31.25
222.198,-96.15
222.58,-28.09
222.961,-54.84
223.343,12.36
223.724,10.28
224.106,2.5
224.487,18.69
224.869,-8.75
225.25,2.04
225.631,-28.09
226.013,52.34
226.394,-17.98
226.775,-7.14
227.156,-5.22
227.537,-20
227.919,-43.88
228.3,-34.69
228.681,-78.65
229.062,-32.3
229.442,-20
229.823,-17.48
230.204,-18.66
230.585,-8.12
230.966,-18.99
231.347,-3.26
231.727,18.01
232.108,12.45
232.488,14.13
232.869,10.78
233.25,-2.6
233.63,-2.79
234.01,9.8
234.391,6.56
234.771,3.14
235.152,9.24
235.532,-7.33
235.912,12.99
236.292,2.85
236.672,0.48
237.053,2.85
237.433,8.46
237.813,20.07
238.193,5.12
238.573,4.36
238.953,0.34
239.333,9.15
239.712,5.22
240.092,2.68
240.472,7.95
240.852,8.31
241.231,3.29
241.611,3.29
241.991,8.24
242.37,7.28
242.75,10.67
243.129,6.23
243.509,6.28
243.888,10.09
244.267,8.61
244.647,9.06
245.026,13.31
245.405,12.05
245.784,7.74
246.164,6.81
246.543,9.68
246.922,11.12
247.301,7.6
247.68,10.54
248.059,16.14
248.438,14.2
248.817,11.76
249.195,10.81
249.574,12.55
249.953,9.7
250.332,9.93
250.71,11.96
251.089,10.89
251.468,12.29
251.846,11.63
252.225,15.5
252.603,13.32
252.982,12.41
253.36,13.2
253.738,13.86
254.117,13.77
254.495,12.58
254.873,14.04
255.251,11.33
255.63,13.94
256.008,11.37
256.386,12.5
256.764,13.43
257.142,12.5
257.52,14.55
257.898,13.78
258.276,13.19
258.653,11.76
259.031,14.6
259.409,11.32
259.787,11.66
260.164,11.5
260.542,13.13
260.92,14.86
261.297,16.87
261.675,13.7
262.052,10.74
262.43,13.49
262.807,12.63
263.184,13.61
263.562,13.34
263.939,12.98
264.316,14.78
264.693,14.38
265.07,12.63
265.448,9.79
265.825,14.2
266.202,12.59
266.579,13.2
266.956,13.59
267.333,12.56
267.709,14.39
268.086,12.02
268.463,13.16
268.84,14.71
269.216,14.53
269.593,15.14
269.97,11.53
270.346,13.17
270.723,13.51
271.099,12.62
271.476,15.17
271.852,12.26
272.229,11.6
272.605,12.24
272.981,13.29
273.358,12.04
273.734,13.31
274.11,12.5
274.486,13.91
274.862,11.38
275.238,11.56
275.614,12.07
275.99,12.46
276.366,12.63
276.742,13.53
277.118,10.91
277.494,12.72
277.87,10.71
278.245,10.48
278.621,11.23
278.997,10.06
279.372,12.14
279.748,13.48
280.123,12.63
280.499,11.98
280.874,11.09
281.25,9.98
281.625,11.24
282,12.12
282.376,13.48
282.751,10.8
283.126,10.89
283.501,12.21
283.876,11.23
284.252,11.81
284.627,11.34
285.002,8.61
285.377,10.92
285.751,10.16
286.126,10.64
286.501,12.37
286.876,9.1
287.251,10.29
287.625,9.46
288,10.71
288.375,10.45
288.749,11.55
289.124,9.2
289.498,9.87
289.873,10.29
290.247,9.7
290.622,8.77
