trial,time.delay,site,species,attacks
model,four,1,model_battus,1
model,four,2,model_battus,0
model,four,3,model_battus,0
model,four,4,model_battus,0
model,four,5,model_battus,1
model,four,6,model_battus,0
model,four,7,model_battus,1
model,four,8,model_battus,1
model,four,9,model_battus,1
model,four,10,model_battus,0
model,four,11,model_battus,0
model,four,12,model_battus,0
model,four,13,model_battus,2
model,four,14,model_battus,1
model,four,15,model_battus,1
model,four,16,model_battus,0
model,four,17,model_battus,0
model,four,18,model_battus,0
model,four,19,model_battus,1
model,four,20,model_battus,0
model,four,1,model_junonia,0
model,four,2,model_junonia,0
model,four,3,model_junonia,0
model,four,4,model_junonia,0
model,four,5,model_junonia,1
model,four,6,model_junonia,0
model,four,7,model_junonia,2
model,four,8,model_junonia,1
model,four,9,model_junonia,5
model,four,10,model_junonia,0
model,four,11,model_junonia,1
model,four,12,model_junonia,0
model,four,13,model_junonia,1
model,four,14,model_junonia,1
model,four,15,model_junonia,1
model,four,16,model_junonia,1
model,four,17,model_junonia,0
model,four,18,model_junonia,0
model,four,19,model_junonia,1
model,four,20,model_junonia,1
model,two,1,model_battus,1
model,two,2,model_battus,1
model,two,3,model_battus,0
model,two,4,model_battus,1
model,two,5,model_battus,1
model,two,6,model_battus,0
model,two,7,model_battus,2
model,two,8,model_battus,2
model,two,9,model_battus,1
model,two,10,model_battus,0
model,two,11,model_battus,1
model,two,12,model_battus,0
model,two,13,model_battus,0
model,two,14,model_battus,0
model,two,15,model_battus,0
model,two,16,model_battus,0
model,two,17,model_battus,0
model,two,18,model_battus,1
model,two,19,model_battus,0
model,two,20,model_battus,0
model,two,1,model_junonia,2
model,two,2,model_junonia,0
model,two,3,model_junonia,2
model,two,4,model_junonia,2
model,two,5,model_junonia,1
model,two,6,model_junonia,0
model,two,7,model_junonia,0
model,two,8,model_junonia,0
model,two,9,model_junonia,1
model,two,10,model_junonia,2
model,two,11,model_junonia,0
model,two,12,model_junonia,0
model,two,13,model_junonia,0
model,two,14,model_junonia,0
model,two,15,model_junonia,0
model,two,16,model_junonia,0
model,two,17,model_junonia,0
model,two,18,model_junonia,0
model,two,19,model_junonia,1
model,two,20,model_junonia,0
model,one,1,model_battus,0
