time.delay,site,species,attacks
four,1,limenitis,1
four,2,limenitis,0
four,3,limenitis,0
four,4,limenitis,0
four,5,limenitis,2
four,6,limenitis,1
four,7,limenitis,0
four,8,limenitis,0
four,9,limenitis,0
four,10,limenitis,1
four,11,limenitis,1
four,12,limenitis,0
four,13,limenitis,0
four,14,limenitis,0
four,15,limenitis,1
four,16,limenitis,2
four,17,limenitis,0
four,18,limenitis,0
four,19,limenitis,1
four,20,limenitis,1
four,1,junonia,1
four,2,junonia,0
four,3,junonia,0
four,4,junonia,0
four,5,junonia,1
four,6,junonia,2
four,7,junonia,1
four,8,junonia,0
four,9,junonia,0
four,10,junonia,0
four,11,junonia,0
four,12,junonia,0
four,13,junonia,0
four,14,junonia,1
four,15,junonia,0
four,16,junonia,1
four,17,junonia,0
four,18,junonia,0
four,19,junonia,0
four,20,junonia,0
two,1,limenitis,7
two,2,limenitis,0
two,3,limenitis,0
two,4,limenitis,0
two,5,limenitis,0
two,6,limenitis,0
two,7,limenitis,0
two,8,limenitis,0
two,9,limenitis,0
two,10,limenitis,0
two,11,limenitis,0
two,12,limenitis,0
two,13,limenitis,0
two,14,limenitis,0
two,15,limenitis,1
two,16,limenitis,0
two,17,limenitis,0
two,18,limenitis,1
two,19,limenitis,0
two,20,limenitis,1
two,1,junonia,3
two,2,junonia,0
two,3,junonia,0
two,4,junonia,0
two,5,junonia,0
two,6,junonia,0
two,7,junonia,0
two,8,junonia,1
two,9,junonia,0
two,10,junonia,0
two,11,junonia,0
two,12,junonia,0
two,13,junonia,0
two,14,junonia,0
two,15,junonia,1
two,16,junonia,0
two,17,junonia,0
two,18,junonia,1
two,19,junonia,0
two,20,junonia,0
one,1,limenitis,0
one,2,limenitis,0
one,3,limenitis,1
one,4,limenitis,1
one,5,limenitis,0
one,6,limenitis,1
one,7,limenitis,1
one,8,limenitis,0
one,9,limenitis,0
one,10,limenitis,1
one,11,limenitis,0
one,12,limenitis,0
one,13,limenitis,0
one,14,limenitis,0
one,15,limenitis,0
one,16,limenitis,0
one,17,limenitis,0
one,18,limenitis,0
one,19,limenitis,1
one,20,limenitis,1
one,1,junonia,0
one,2,junonia,0
one,3,junonia,0
one,4,junonia,2
one,5,junonia,1
one,6,junonia,0
one,7,junonia,0
one,8,junonia,1
one,9,junonia,0
one,10,junonia,1
one,11,junonia,0
one,12,junonia,0
one,13,junonia,1
one,14,junonia,0
one,15,junonia,0
one,16,junonia,0
one,17,junonia,1
one,18,junonia,0
one,19,junonia,0
one,20,junonia,0
zero,1,limenitis,0
zero,2,limenitis,0
zero,3,limenitis,1
zero,4,limenitis,0
zero,5,limenitis,0
zero,6,limenitis,0
zero,7,limenitis,0
zero,8,limenitis,0
zero,9,limenitis,0
zero,10,limenitis,0
zero,11,limenitis,0
zero,12,limenitis,0
zero,13,limenitis,0
zero,14,limenitis,0
zero,15,limenitis,1
zero,16,limenitis,0
zero,17,limenitis,0
zero,18,limenitis,0
zero,19,limenitis,2
zero,20,limenitis,0
zero,1,junonia,0
zero,2,junonia,1
zero,3,junonia,2
zero,4,junonia,0
zero,5,junonia,1
zero,6,junonia,2
zero,7,junonia,4
zero,8,junonia,1
zero,9,junonia,1
zero,10,junonia,0
zero,11,junonia,0
zero,12,junonia,0
zero,13,junonia,0
zero,14,junonia,0
zero,15,junonia,0
zero,16,junonia,0
zero,17,junonia,2
zero,18,junonia,0
zero,19,junonia,0
zero,20,junonia,1
