time.delay,site,species,attacks
four,1,battus,1
four,2,battus,0
four,3,battus,0
four,4,battus,0
four,5,battus,1
four,6,battus,0
four,7,battus,1
four,8,battus,1
four,9,battus,1
four,10,battus,0
four,11,battus,0
four,12,battus,0
four,13,battus,2
four,14,battus,1
four,15,battus,1
four,16,battus,0
four,17,battus,0
four,18,battus,0
four,19,battus,1
four,20,battus,0
four,1,junonia,0
four,2,junonia,0
four,3,junonia,0
four,4,junonia,0
four,5,junonia,1
four,6,junonia,0
four,7,junonia,2
four,8,junonia,1
four,9,junonia,5
four,10,junonia,0
four,11,junonia,1
four,12,junonia,0
four,13,junonia,1
four,14,junonia,1
four,15,junonia,1
four,16,junonia,1
four,17,junonia,0
four,18,junonia,0
four,19,junonia,1
four,20,junonia,1
two,1,battus,1
two,2,battus,1
two,3,battus,0
two,4,battus,1
two,5,battus,1
two,6,battus,0
two,7,battus,2
two,8,battus,2
two,9,battus,1
two,10,battus,0
two,11,battus,1
two,12,battus,0
two,13,battus,0
two,14,battus,0
two,15,battus,0
two,16,battus,0
two,17,battus,0
two,18,battus,1
two,19,battus,0
two,20,battus,0
two,1,junonia,2
two,2,junonia,0
two,3,junonia,2
two,4,junonia,2
two,5,junonia,1
two,6,junonia,0
two,7,junonia,0
two,8,junonia,0
two,9,junonia,1
two,10,junonia,2
two,11,junonia,0
two,12,junonia,0
two,13,junonia,0
two,14,junonia,0
two,15,junonia,0
two,16,junonia,0
two,17,junonia,0
two,18,junonia,0
two,19,junonia,1
two,20,junonia,0
one,1,battus,0
one,2,battus,1
one,3,battus,2
one,4,battus,0
one,5,battus,0
one,6,battus,0
one,7,battus,0
one,8,battus,0
one,9,battus,0
one,10,battus,0
one,11,battus,1
one,12,battus,1
one,13,battus,0
one,14,battus,0
one,15,battus,0
one,16,battus,0
one,17,battus,0
one,18,battus,2
one,19,battus,0
one,20,battus,0
one,1,junonia,0
one,2,junonia,0
one,3,junonia,1
one,4,junonia,1
one,5,junonia,0
one,6,junonia,1
one,7,junonia,4
one,8,junonia,0
one,9,junonia,1
one,10,junonia,0
one,11,junonia,1
one,12,junonia,0
one,13,junonia,0
one,14,junonia,0
one,15,junonia,0
one,16,junonia,0
one,17,junonia,1
one,18,junonia,1
one,19,junonia,0
one,20,junonia,0
zero,1,battus,0
zero,2,battus,0
zero,3,battus,1
zero,4,battus,0
zero,5,battus,1
zero,6,battus,0
zero,7,battus,1
zero,8,battus,0
zero,9,battus,1
zero,10,battus,0
zero,11,battus,0
zero,12,battus,0
zero,13,battus,1
zero,14,battus,0
zero,15,battus,0
zero,16,battus,1
zero,17,battus,0
zero,18,battus,0
zero,19,battus,1
zero,20,battus,0
zero,1,junonia,0
zero,2,junonia,1
zero,3,junonia,2
zero,4,junonia,0
zero,5,junonia,1
zero,6,junonia,2
zero,7,junonia,4
zero,8,junonia,1
zero,9,junonia,1
zero,10,junonia,0
zero,11,junonia,0
zero,12,junonia,0
zero,13,junonia,0
zero,14,junonia,0
zero,15,junonia,0
zero,16,junonia,0
zero,17,junonia,2
zero,18,junonia,0
zero,19,junonia,0
zero,20,junonia,1
