phase,transect,day,species,site,attacks
learning,1,1,battus,1,0
learning,1,1,battus,2,0
learning,1,1,battus,3,0
learning,1,1,battus,4,0
learning,1,1,battus,5,1
learning,1,1,battus,6,0
learning,1,1,battus,7,0
learning,1,1,battus,8,1
learning,1,1,battus,9,1
learning,1,1,battus,10,0
learning,1,1,battus,11,0
learning,1,1,battus,12,0
learning,1,1,battus,13,1
learning,1,1,battus,14,0
learning,1,1,battus,15,1
learning,1,1,battus,16,0
learning,1,1,battus,17,0
learning,1,1,battus,18,0
learning,1,1,battus,19,0
learning,1,1,battus,20,0
learning,1,1,junonia,1,0
learning,1,1,junonia,2,0
learning,1,1,junonia,3,0
learning,1,1,junonia,4,0
learning,1,1,junonia,5,0
learning,1,1,junonia,6,0
learning,1,1,junonia,7,1
learning,1,1,junonia,8,0
learning,1,1,junonia,9,3
learning,1,1,junonia,10,0
learning,1,1,junonia,11,0
learning,1,1,junonia,12,0
learning,1,1,junonia,13,0
learning,1,1,junonia,14,1
learning,1,1,junonia,15,1
learning,1,1,junonia,16,1
learning,1,1,junonia,17,0
learning,1,1,junonia,18,0
learning,1,1,junonia,19,0
learning,1,1,junonia,20,0
learning,1,2,battus,1,1
learning,1,2,battus,2,0
learning,1,2,battus,3,0
learning,1,2,battus,4,0
learning,1,2,battus,5,0
learning,1,2,battus,6,0
learning,1,2,battus,7,0
learning,1,2,battus,8,0
learning,1,2,battus,9,0
learning,1,2,battus,10,0
learning,1,2,battus,11,0
learning,1,2,battus,12,0
learning,1,2,battus,13,0
learning,1,2,battus,14,1
learning,1,2,battus,15,0
learning,1,2,battus,16,0
learning,1,2,battus,17,0
learning,1,2,battus,18,0
learning,1,2,battus,19,1
learning,1,2,battus,20,0
learning,1,2,junonia,1,0
learning,1,2,junonia,2,0
learning,1,2,junonia,3,0
learning,1,2,junonia,4,0
learning,1,2,junonia,5,0
learning,1,2,junonia,6,0
learning,1,2,junonia,7,1
learning,1,2,junonia,8,0
learning,1,2,junonia,9,2
learning,1,2,junonia,10,0
learning,1,2,junonia,11,1
learning,1,2,junonia,12,0
learning,1,2,junonia,13,0
learning,1,2,junonia,14,0
learning,1,2,junonia,15,0
learning,1,2,junonia,16,0
learning,1,2,junonia,17,0
learning,1,2,junonia,18,0
learning,1,2,junonia,19,1
learning,1,2,junonia,20,1
learning,1,3,battus,1,0
learning,1,3,battus,2,0
learning,1,3,battus,3,0
learning,1,3,battus,4,0
learning,1,3,battus,5,0
learning,1,3,battus,6,0
learning,1,3,battus,7,1
learning,1,3,battus,8,0
learning,1,3,battus,9,0
learning,1,3,battus,10,0
learning,1,3,battus,11,0
learning,1,3,battus,12,0
learning,1,3,battus,13,1
learning,1,3,battus,14,0
learning,1,3,battus,15,0
learning,1,3,battus,16,0
learning,1,3,battus,17,0
learning,1,3,battus,18,0
learning,1,3,battus,19,0
learning,1,3,battus,20,0
learning,1,3,junonia,1,0
learning,1,3,junonia,2,0
learning,1,3,junonia,3,0
learning,1,3,junonia,4,0
learning,1,3,junonia,5,1
learning,1,3,junonia,6,0
learning,1,3,junonia,7,0
learning,1,3,junonia,8,0
learning,1,3,junonia,9,0
learning,1,3,junonia,10,0
learning,1,3,junonia,11,0
learning,1,3,junonia,12,0
learning,1,3,junonia,13,0
learning,1,3,junonia,14,0
learning,1,3,junonia,15,0
learning,1,3,junonia,16,0
learning,1,3,junonia,17,0
learning,1,3,junonia,18,0
learning,1,3,junonia,19,0
learning,1,3,junonia,20,0
learning,1,4,battus,1,0
learning,1,4,battus,2,0
learning,1,4,battus,3,0
learning,1,4,battus,4,0
learning,1,4,battus,5,0
learning,1,4,battus,6,0
learning,1,4,battus,7,0
learning,1,4,battus,8,0
learning,1,4,battus,9,0
learning,1,4,battus,10,0
learning,1,4,battus,11,0
learning,1,4,battus,12,0
learning,1,4,battus,13,0
learning,1,4,battus,14,0
learning,1,4,battus,15,0
learning,1,4,battus,16,0
learning,1,4,battus,17,0
learning,1,4,battus,18,0
learning,1,4,battus,19,0
learning,1,4,battus,20,0
learning,1,4,junonia,1,0
learning,1,4,junonia,2,0
learning,1,4,junonia,3,0
learning,1,4,junonia,4,0
learning,1,4,junonia,5,0
learning,1,4,junonia,6,0
learning,1,4,junonia,7,0
learning,1,4,junonia,8,1
learning,1,4,junonia,9,0
learning,1,4,junonia,10,0
learning,1,4,junonia,11,0
learning,1,4,junonia,12,0
learning,1,4,junonia,13,1
learning,1,4,junonia,14,0
learning,1,4,junonia,15,0
learning,1,4,junonia,16,0
learning,1,4,junonia,17,0
learning,1,4,junonia,18,0
learning,1,4,junonia,19,0
learning,1,4,junonia,20,0
learning,2,1,battus,1,0
learning,2,1,battus,2,1
learning,2,1,battus,3,0
learning,2,1,battus,4,1
learning,2,1,battus,5,1
learning,2,1,battus,6,0
learning,2,1,battus,7,2
learning,2,1,battus,8,1
learning,2,1,battus,9,1
learning,2,1,battus,10,0
learning,2,1,battus,11,1
learning,2,1,battus,12,0
learning,2,1,battus,13,0
learning,2,1,battus,14,0
learning,2,1,battus,15,0
learning,2,1,battus,16,0
learning,2,1,battus,17,0
learning,2,1,battus,18,1
learning,2,1,battus,19,0
learning,2,1,battus,20,0
learning,2,1,junonia,1,0
learning,2,1,junonia,2,0
learning,2,1,junonia,3,2
learning,2,1,junonia,4,1
learning,2,1,junonia,5,1
learning,2,1,junonia,6,0
learning,2,1,junonia,7,0
learning,2,1,junonia,8,0
learning,2,1,junonia,9,1
learning,2,1,junonia,10,0
learning,2,1,junonia,11,0
learning,2,1,junonia,12,0
learning,2,1,junonia,13,0
learning,2,1,junonia,14,0
learning,2,1,junonia,15,0
learning,2,1,junonia,16,0
learning,2,1,junonia,17,0
learning,2,1,junonia,18,0
learning,2,1,junonia,19,1
learning,2,1,junonia,20,0
learning,2,2,battus,1,0
learning,2,2,battus,2,0
learning,2,2,battus,3,0
learning,2,2,battus,4,0
learning,2,2,battus,5,0
learning,2,2,battus,6,0
learning,2,2,battus,7,0
learning,2,2,battus,8,0
learning,2,2,battus,9,0
learning,2,2,battus,10,0
learning,2,2,battus,11,0
learning,2,2,battus,12,0
learning,2,2,battus,13,0
learning,2,2,battus,14,0
learning,2,2,battus,15,0
learning,2,2,battus,16,0
learning,2,2,battus,17,0
learning,2,2,battus,18,0
learning,2,2,battus,19,0
learning,2,2,battus,20,0
learning,2,2,junonia,1,0
learning,2,2,junonia,2,0
learning,2,2,junonia,3,0
learning,2,2,junonia,4,0
learning,2,2,junonia,5,0
learning,2,2,junonia,6,0
learning,2,2,junonia,7,0
learning,2,2,junonia,8,0
learning,2,2,junonia,9,0
learning,2,2,junonia,10,1
learning,2,2,junonia,11,0
learning,2,2,junonia,12,0
learning,2,2,junonia,13,0
learning,2,2,junonia,14,0
learning,2,2,junonia,15,0
learning,2,2,junonia,16,0
learning,2,2,junonia,17,0
learning,2,2,junonia,18,0
learning,2,2,junonia,19,0
learning,2,2,junonia,20,0
learning,2,3,battus,1,0
learning,2,3,battus,2,0
learning,2,3,battus,3,0
learning,2,3,battus,4,0
learning,2,3,battus,5,0
learning,2,3,battus,6,0
learning,2,3,battus,7,0
learning,2,3,battus,8,0
learning,2,3,battus,9,0
learning,2,3,battus,10,0
learning,2,3,battus,11,0
learning,2,3,battus,12,0
learning,2,3,battus,13,0
learning,2,3,battus,14,0
learning,2,3,battus,15,0
learning,2,3,battus,16,0
learning,2,3,battus,17,0
learning,2,3,battus,18,0
learning,2,3,battus,19,0
