wavelength,reflectance,species,sample.number,specimen.type,measurement.type
177.272,97.6,battus,1,real.wing,
177.658,194.29,battus,1,real.wing,
178.044,-23.53,battus,1,real.wing,
178.43,115.79,battus,1,real.wing,
178.816,188.24,battus,1,real.wing,
179.203,-73.68,battus,1,real.wing,
179.589,194.29,battus,1,real.wing,
179.975,59.46,battus,1,real.wing,
180.361,494.74,battus,1,real.wing,
180.747,10.81,battus,1,real.wing,
181.133,54.79,battus,1,real.wing,
181.519,115.79,battus,1,real.wing,
181.904,-217.14,battus,1,real.wing,
182.29,156.76,battus,1,real.wing,
182.676,188.24,battus,1,real.wing,
183.062,400,battus,1,real.wing,
183.447,7.27,battus,1,real.wing,
183.833,-341.18,battus,1,real.wing,
184.219,23.26,battus,1,real.wing,
184.604,63.74,battus,1,real.wing,
184.99,15.73,battus,1,real.wing,
185.375,188.24,battus,1,real.wing,
185.761,-5000,battus,1,real.wing,
186.146,-23.53,battus,1,real.wing,
186.531,22.38,battus,1,real.wing,
186.917,-85.39,battus,1,real.wing,
187.302,-107.04,battus,1,real.wing,
187.687,19.72,battus,1,real.wing,
188.073,35.96,battus,1,real.wing,
188.458,35.96,battus,1,real.wing,
188.843,130.84,battus,1,real.wing,
189.228,40,battus,1,real.wing,
189.613,494.74,battus,1,real.wing,
189.998,-235.29,battus,1,real.wing,
190.383,5800,battus,1,real.wing,
190.768,-24.72,battus,1,real.wing,
191.153,36.91,battus,1,real.wing,
191.538,47.55,battus,1,real.wing,
191.923,-30.99,battus,1,real.wing,
192.307,194.29,battus,1,real.wing,
192.692,-3.74,battus,1,real.wing,
193.077,19.72,battus,1,real.wing,
193.461,31.06,battus,1,real.wing,
193.846,7.11,battus,1,real.wing,
194.231,88.27,battus,1,real.wing,
194.615,-75.2,battus,1,real.wing,
195,6.51,battus,1,real.wing,
195.384,37.99,battus,1,real.wing,
195.769,27.93,battus,1,real.wing,
196.153,47.55,battus,1,real.wing,
196.537,-10.23,battus,1,real.wing,
196.922,-85.39,battus,1,real.wing,
197.306,35.96,battus,1,real.wing,
197.69,37.99,battus,1,real.wing,
198.074,-7.55,battus,1,real.wing,
198.458,-268.57,battus,1,real.wing,
198.843,19.88,battus,1,real.wing,
199.227,37.99,battus,1,real.wing,
199.611,71.07,battus,1,real.wing,
199.995,52.79,battus,1,real.wing,
200.379,-22.35,battus,1,real.wing,
200.763,54.4,battus,1,real.wing,
201.146,48.92,battus,1,real.wing,
201.53,61.93,battus,1,real.wing,
201.914,52.36,battus,1,real.wing,
202.298,21.46,battus,1,real.wing,
202.681,80.37,battus,1,real.wing,
203.065,76.4,battus,1,real.wing,
203.449,37.99,battus,1,real.wing,
203.832,-3.2,battus,1,real.wing,
204.216,25.38,battus,1,real.wing,
204.599,-107.04,battus,1,real.wing,
204.983,-54.21,battus,1,real.wing,
205.366,-24.89,battus,1,real.wing,
205.75,110.49,battus,1,real.wing,
206.133,19.92,battus,1,real.wing,
206.516,-60.8,battus,1,real.wing,
206.9,52.79,battus,1,real.wing,
207.283,23.26,battus,1,real.wing,
207.666,-24.72,battus,1,real.wing,
208.049,54.4,battus,1,real.wing,
208.432,54.4,battus,1,real.wing,
208.815,-15.38,battus,1,real.wing,
209.198,-4.49,battus,1,real.wing,
209.581,128.3,battus,1,real.wing,
209.964,-658.82,battus,1,real.wing,
210.347,205.41,battus,1,real.wing,
210.73,27.93,battus,1,real.wing,
211.113,-109.43,battus,1,real.wing,
211.496,40,battus,1,real.wing,
211.879,52.36,battus,1,real.wing,
212.261,75.78,battus,1,real.wing,
212.644,-7.55,battus,1,real.wing,
213.027,44.64,battus,1,real.wing,
213.409,5800,battus,1,real.wing,
213.792,96.63,battus,1,real.wing,
214.174,68.16,battus,1,real.wing,
214.557,61.32,battus,1,real.wing,
214.939,-35.35,battus,1,real.wing,
215.322,42.51,battus,1,real.wing,
215.704,-17.6,battus,1,real.wing,
216.086,41.43,battus,1,real.wing,
216.469,-75.47,battus,1,real.wing,
216.851,-56.34,battus,1,real.wing,
217.233,7.11,battus,1,real.wing,
217.615,-2.23,battus,1,real.wing,
217.997,37.99,battus,1,real.wing,
218.379,-12.29,battus,1,real.wing,
218.761,-4.49,battus,1,real.wing,
219.143,19.88,battus,1,real.wing,
219.525,52.04,battus,1,real.wing,
219.907,65.12,battus,1,real.wing,
220.289,171.83,battus,1,real.wing,
220.671,55.78,battus,1,real.wing,
221.053,25.38,battus,1,real.wing,
221.435,31.06,battus,1,real.wing,
221.816,-54.21,battus,1,real.wing,
222.198,15.73,battus,1,real.wing,
222.58,15.73,battus,1,real.wing,
222.961,-24.72,battus,1,real.wing,
223.343,6.51,battus,1,real.wing,
223.724,-4.49,battus,1,real.wing,
224.106,37.99,battus,1,real.wing,
224.487,12.75,battus,1,real.wing,
224.869,-2.8,battus,1,real.wing,
225.25,43.65,battus,1,real.wing,
225.631,8.7,battus,1,real.wing,
226.013,4.88,battus,1,real.wing,
226.394,13.73,battus,1,real.wing,
226.775,-9.44,battus,1,real.wing,
227.156,44.01,battus,1,real.wing,
227.537,70.12,battus,1,real.wing,
227.919,45.07,battus,1,real.wing,
228.3,-1.49,battus,1,real.wing,
228.681,10.49,battus,1,real.wing,
229.062,-20.21,battus,1,real.wing,
229.442,25.22,battus,1,real.wing,
229.823,-8.76,battus,1,real.wing,
230.204,-12.38,battus,1,real.wing,
230.585,41.06,battus,1,real.wing,
230.966,28.31,battus,1,real.wing,
231.347,10.71,battus,1,real.wing,
231.727,38.26,battus,1,real.wing,
232.108,-4.54,battus,1,real.wing,
232.488,2.89,battus,1,real.wing,
232.869,-9.69,battus,1,real.wing,
233.25,12.11,battus,1,real.wing,
233.63,25.13,battus,1,real.wing,
234.01,10.51,battus,1,real.wing,
234.391,10.51,battus,1,real.wing,
234.771,16.55,battus,1,real.wing,
235.152,9.23,battus,1,real.wing,
235.532,16.97,battus,1,real.wing,
235.912,1.81,battus,1,real.wing,
236.292,1.73,battus,1,real.wing,
236.672,5.06,battus,1,real.wing,
237.053,12.56,battus,1,real.wing,
237.433,12.56,battus,1,real.wing,
237.813,2.58,battus,1,real.wing,
238.193,9.98,battus,1,real.wing,
238.573,13.22,battus,1,real.wing,
238.953,9.04,battus,1,real.wing,
239.333,7.32,battus,1,real.wing,
239.712,7.14,battus,1,real.wing,
240.092,10.09,battus,1,real.wing,
240.472,8.28,battus,1,real.wing,
240.852,8.28,battus,1,real.wing,
241.231,13.46,battus,1,real.wing,
241.611,4.55,battus,1,real.wing,
241.991,12.97,battus,1,real.wing,
242.37,7.84,battus,1,real.wing,
242.75,6.65,battus,1,real.wing,
243.129,10.39,battus,1,real.wing,
243.509,5.94,battus,1,real.wing,
243.888,11.44,battus,1,real.wing,
244.267,9.92,battus,1,real.wing,
244.647,5.78,battus,1,real.wing,
245.026,9.99,battus,1,real.wing,
245.405,3.66,battus,1,real.wing,
245.784,5.45,battus,1,real.wing,
246.164,6.97,battus,1,real.wing,
246.543,7.86,battus,1,real.wing,
246.922,6.79,battus,1,real.wing,
247.301,9.12,battus,1,real.wing,
247.68,6.66,battus,1,real.wing,
248.059,8.23,battus,1,real.wing,
248.438,9.42,battus,1,real.wing,
248.817,6.63,battus,1,real.wing,
249.195,10.92,battus,1,real.wing,
249.574,7.36,battus,1,real.wing,
249.953,8.68,battus,1,real.wing,
250.332,8.04,battus,1,real.wing,
250.71,5.6,battus,1,real.wing,
251.089,5.6,battus,1,real.wing,
251.468,11.75,battus,1,real.wing,
251.846,10.6,battus,1,real.wing,
252.225,9.69,battus,1,real.wing,
252.603,8.04,battus,1,real.wing,
252.982,7.88,battus,1,real.wing,
253.36,6.01,battus,1,real.wing,
253.738,8.17,battus,1,real.wing,
254.117,7.56,battus,1,real.wing,
254.495,10.26,battus,1,real.wing,
254.873,10.22,battus,1,real.wing,
255.251,12.19,battus,1,real.wing,
255.63,6.44,battus,1,real.wing,
256.008,9.02,battus,1,real.wing,
256.386,8.78,battus,1,real.wing,
256.764,7.99,battus,1,real.wing,
257.142,8.75,battus,1,real.wing,
257.52,10.4,battus,1,real.wing,
257.898,8.84,battus,1,real.wing,
258.276,10.25,battus,1,real.wing,
258.653,9.11,battus,1,real.wing,
259.031,10.76,battus,1,real.wing,
259.409,7.58,battus,1,real.wing,
259.787,11.52,battus,1,real.wing,
260.164,9.74,battus,1,real.wing,
260.542,9.69,battus,1,real.wing,
260.92,7.72,battus,1,real.wing,
261.297,9.91,battus,1,real.wing,
261.675,9.33,battus,1,real.wing,
262.052,8.98,battus,1,real.wing,
262.43,9.86,battus,1,real.wing,
262.807,12.32,battus,1,real.wing,
263.184,10.33,battus,1,real.wing,
263.562,9.37,battus,1,real.wing,
263.939,10.66,battus,1,real.wing,
264.316,13.1,battus,1,real.wing,
264.693,8.53,battus,1,real.wing,
265.07,9.79,battus,1,real.wing,
265.448,10.02,battus,1,real.wing,
265.825,10,battus,1,real.wing,
266.202,11.98,battus,1,real.wing,
266.579,10.97,battus,1,real.wing,
266.956,8.28,battus,1,real.wing,
267.333,10.21,battus,1,real.wing,
267.709,10.91,battus,1,real.wing,
268.086,10.65,battus,1,real.wing,
268.463,11.94,battus,1,real.wing,
268.84,10.17,battus,1,real.wing,
269.216,11.48,battus,1,real.wing,
269.593,11.33,battus,1,real.wing,
269.97,11,battus,1,real.wing,
270.346,12.13,battus,1,real.wing,
270.723,11.96,battus,1,real.wing,
271.099,10.89,battus,1,real.wing,
271.476,10.91,battus,1,real.wing,
271.852,14.27,battus,1,real.wing,
272.229,11.34,battus,1,real.wing,
272.605,11.95,battus,1,real.wing,
272.981,14.83,battus,1,real.wing,
273.358,13.66,battus,1,real.wing,
273.734,12.84,battus,1,real.wing,
274.11,14.45,battus,1,real.wing,
274.486,12.91,battus,1,real.wing,
274.862,13.28,battus,1,real.wing,
275.238,11.36,battus,1,real.wing,
275.614,13.63,battus,1,real.wing,
275.99,14.59,battus,1,real.wing,
276.366,12.73,battus,1,real.wing,
276.742,13.76,battus,1,real.wing,
277.118,13.01,battus,1,real.wing,
277.494,14.13,battus,1,real.wing,
277.87,12.45,battus,1,real.wing,
278.245,11.54,battus,1,real.wing,
278.621,13.11,battus,1,real.wing,
278.997,16.08,battus,1,real.wing,
279.372,14.59,battus,1,real.wing,
279.748,10.37,battus,1,real.wing,
280.123,12.6,battus,1,real.wing,
280.499,13.28,battus,1,real.wing,
280.874,14.34,battus,1,real.wing,
281.25,14.38,battus,1,real.wing,
281.625,14.38,battus,1,real.wing,
282,15.12,battus,1,real.wing,
282.376,16.32,battus,1,real.wing,
282.751,11.95,battus,1,real.wing,
283.126,14.89,battus,1,real.wing,
283.501,14.9,battus,1,real.wing,
283.876,16.53,battus,1,real.wing,
284.252,14.79,battus,1,real.wing,
284.627,13.79,battus,1,real.wing,
285.002,15.02,battus,1,real.wing,
285.377,13.88,battus,1,real.wing,
285.751,15.56,battus,1,real.wing,
286.126,14.62,battus,1,real.wing,
286.501,15.57,battus,1,real.wing,
286.876,15.59,battus,1,real.wing,
287.251,16.28,battus,1,real.wing,
287.625,12.7,battus,1,real.wing,
288,16.32,battus,1,real.wing,
288.375,16.4,battus,1,real.wing,
288.749,19.02,battus,1,real.wing,
289.124,13.69,battus,1,real.wing,
289.498,16.21,battus,1,real.wing,
289.873,15.82,battus,1,real.wing,
290.247,15.02,battus,1,real.wing,
290.622,15.55,battus,1,real.wing,
290.996,15,battus,1,real.wing,
291.37,14.66,battus,1,real.wing,
291.745,16.99,battus,1,real.wing,
292.119,16.57,battus,1,real.wing,
292.493,17.08,battus,1,real.wing,
292.867,15.14,battus,1,real.wing,
293.241,15.59,battus,1,real.wing,
293.616,16.65,battus,1,real.wing,
293.99,17.18,battus,1,real.wing,
294.364,15.77,battus,1,real.wing,
294.737,17.54,battus,1,real.wing,
295.111,15.08,battus,1,real.wing,
295.485,15.91,battus,1,real.wing,
295.859,14.87,battus,1,real.wing,
296.233,16.44,battus,1,real.wing,
296.607,15.69,battus,1,real.wing,
296.98,16.7,battus,1,real.wing,
297.354,18.22,battus,1,real.wing,
297.728,17.85,battus,1,real.wing,
298.101,15.89,battus,1,real.wing,
298.475,12.75,battus,1,real.wing,
298.848,17.52,battus,1,real.wing,
299.222,16.17,battus,1,real.wing,
299.595,16.01,battus,1,real.wing,
299.968,15.83,battus,1,real.wing,
300.342,16.61,battus,1,real.wing,
300.715,15.39,battus,1,real.wing,
301.088,17.25,battus,1,real.wing,
301.462,16.03,battus,1,real.wing,
301.835,16.2,battus,1,real.wing,
302.208,16.38,battus,1,real.wing,
302.581,16.17,battus,1,real.wing,
302.954,16.01,battus,1,real.wing,
303.327,18.22,battus,1,real.wing,
303.7,17.02,battus,1,real.wing,
304.073,16.88,battus,1,real.wing,
304.446,15.24,battus,1,real.wing,
304.819,17.02,battus,1,real.wing,
305.192,14.93,battus,1,real.wing,
305.564,14.54,battus,1,real.wing,
305.937,15.97,battus,1,real.wing,
306.31,14.98,battus,1,real.wing,
306.682,16.48,battus,1,real.wing,
307.055,13.84,battus,1,real.wing,
307.428,15.97,battus,1,real.wing,
307.8,15.47,battus,1,real.wing,
308.173,17.83,battus,1,real.wing,
308.545,15.33,battus,1,real.wing,
308.917,16.11,battus,1,real.wing,
309.29,15.8,battus,1,real.wing,
309.662,12.06,battus,1,real.wing,
310.034,15.53,battus,1,real.wing,
310.407,16.61,battus,1,real.wing,
310.779,15.14,battus,1,real.wing,
311.151,15.88,battus,1,real.wing,
311.523,15.41,battus,1,real.wing,
